[9/2/21, 8:16:44 AM] सुमेधा टिकडी: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
‎[9/2/21, 8:16:44 AM] Shivam Sharma: ‎Contact card omitted
[9/2/21, 8:58:49 AM] सुमेधा टिकडी: hn ye bhi h
[9/2/21, 8:59:40 AM] Shivam Sharma: hmmm
[9/2/21, 9:00:04 AM] सुमेधा टिकडी: hmm
[9/2/21, 9:00:06 AM] सुमेधा टिकडी: shi h
[9/2/21, 9:00:10 AM] सुमेधा टिकडी: tho tu kb gya US
[9/2/21, 9:00:35 AM] Shivam Sharma: 29 ko
[9/2/21, 9:00:48 AM] सुमेधा टिकडी: ok
[10/10/22, 10:13:40 AM] Shivam Sharma: Hi
[10/10/22, 10:13:58 AM] Shivam Sharma: Mereko farewell waali videos bhej degi kya saari
[10/10/22, 10:14:41 AM] सुमेधा टिकडी: Hey
[10/10/22, 10:14:46 AM] सुमेधा टिकडी: Mere pas sari ni h
[10/10/22, 10:14:48 AM] सुमेधा टिकडी: Bs ek hi h
[10/10/22, 10:15:01 AM] Shivam Sharma: Ohh theek h wahi bhej de
‎[10/10/22, 10:15:22 AM] सुमेधा टिकडी: ‎video omitted
[5/8/23, 7:16:15 AM] सुमेधा टिकडी: Hi
[5/8/23, 7:16:17 AM] सुमेधा टिकडी: Wassup
[5/8/23, 7:29:01 AM] Shivam Sharma: Hello
[5/8/23, 7:29:15 AM] सुमेधा टिकडी: Kya haal h
[5/8/23, 7:29:24 AM] सुमेधा टिकडी: Job wgera kr rha h kya?
[5/8/23, 7:29:31 AM] Shivam Sharma: Mast h, tu bta
[5/8/23, 7:29:39 AM] सुमेधा टिकडी: M bhi bdiya
[5/8/23, 7:29:43 AM] Shivam Sharma: Dhund rha hu jobs
[5/8/23, 7:29:58 AM] सुमेधा टिकडी: Internship ho gyi teri?
[5/8/23, 7:30:08 AM] Shivam Sharma: Nhi
[5/8/23, 7:30:14 AM] सुमेधा टिकडी: Ok
[5/8/23, 7:30:32 AM] Shivam Sharma: Tu lagwa sakti h kya
[5/8/23, 7:31:26 AM] सुमेधा टिकडी: Hahahah
[5/8/23, 7:31:36 AM] सुमेधा टिकडी: F1 visa hoga na tera tho?
[5/8/23, 7:31:42 AM] सुमेधा टिकडी: Kaunsi state m h tu
[5/8/23, 7:31:49 AM] Shivam Sharma: Han yar
[5/8/23, 7:31:54 AM] Shivam Sharma: Me arizona me hu
[5/8/23, 7:35:15 AM] सुमेधा टिकडी: Bdiya
[5/8/23, 7:35:29 AM] सुमेधा टिकडी: H
[5/8/23, 7:35:57 AM] Shivam Sharma: Tera kaisa chal rha h job wagera
[5/8/23, 7:36:33 AM] सुमेधा टिकडी: Or whi settle hone ka plan h kya?
[5/8/23, 7:36:34 AM] सुमेधा टिकडी: Bdiya
[5/8/23, 7:37:09 AM] Shivam Sharma: Ye tow dekhte h, job dhundh hi rhe h
[5/8/23, 7:38:11 AM] सुमेधा टिकडी: Hmm
[5/8/23, 7:38:47 AM] सुमेधा टिकडी: Or teri gf kaisi h
[5/8/23, 7:38:49 AM] सुमेधा टिकडी: Monika
[5/8/23, 7:38:51 AM] सुमेधा टिकडी: 🤣🤣
[5/8/23, 7:39:28 AM] Shivam Sharma: Mast h wo bhi IIIT me h na abhi
[5/8/23, 7:40:02 AM] सुमेधा टिकडी: Hmm
[5/8/23, 7:40:12 AM] सुमेधा टिकडी: Shadi kb rhe ho tum dono
[5/8/23, 7:40:14 AM] सुमेधा टिकडी: 😂
[5/8/23, 7:40:22 AM] Shivam Sharma: 😂😂
[5/8/23, 7:40:38 AM] Shivam Sharma: Jab papa maan jayenge uske
[5/8/23, 7:41:30 AM] सुमेधा टिकडी: Hmm ye bhi shi h
[5/8/23, 7:41:49 AM] Shivam Sharma: Aur abhishek ki kab ki fix hui h
[5/8/23, 7:41:55 AM] सुमेधा टिकडी: 23nov
[5/8/23, 7:42:00 AM] सुमेधा टिकडी: Aayega tu?
[5/8/23, 7:42:09 AM] Shivam Sharma: Ohh, try kar sakta h
[5/8/23, 7:42:17 AM] सुमेधा टिकडी: Hmm
[5/8/23, 7:42:27 AM] सुमेधा टिकडी: Uss tym tho india aata hi hoga
[5/8/23, 7:43:07 AM] Shivam Sharma: Mostly December me aur garmi ki chutti me
[5/8/23, 7:43:21 AM] सुमेधा टिकडी: Hmm
[5/8/23, 7:43:24 AM] सुमेधा टिकडी: Tho bsy
[5/8/23, 7:43:26 AM] सुमेधा टिकडी: Bs*
[5/8/23, 7:43:38 AM] Shivam Sharma: Hmmm
[5/9/23, 5:38:42 AM] सुमेधा टिकडी: https://urlshrt1.ru/PekJILGg/
